movieId,companyId
1,1
2,2
2,3
2,4
3,5
3,6
4,7
5,8
5,9
6,5
6,10
6,11
6,12
6,13
6,14
7,15
7,16
7,17
7,8
7,18
7,19
7,20
8,21
8,22
9,23
9,24
9,25
9,26
10,27
10,28
11,29
11,30
12,31
12,29
12,32
13,23
13,33
13,34
14,35
14,36
15,37
15,38
15,39
15,40
15,41
15,42
15,43
15,44
15,45
15,46
16,23
16,47
16,48
16,49
17,31
17,17
18,50
18,51
19,5
19,52
20,31
21,37
21,53
22,11
22,54
23,55
23,5
23,56
23,57
23,58
23,59
24,60
24,35
25,27
25,61
25,62
26,31
26,29
27,63
28,64
29,55
29,65
29,66
29,67
29,68
29,69
29,70
29,71
29,72
29,73
29,74
29,75
29,76
29,77
29,78
29,79
29,62
29,80
29,81
29,82
29,83
30,84
30,85
30,86
30,87
31,35
31,88
31,89
32,23
32,90
32,91
34,23
34,92
36,93
36,94
36,95
38,5
38,96
38,97
38,98
39,15
40,50
40,99
40,100
41,27
41,101
41,102
41,103
41,104
42,60
42,105
42,35
43,50
44,63
44,106
45,31
45,107
46,23
46,33
47,63
47,108
47,109
48,21
48,110
49,111
50,112
50,113
52,50
52,114
54,21
54,60
55,50
55,115
57,15
57,116
57,94
58,117
58,118
58,119
58,120
58,121
60,15
60,31
60,122
61,15
62,35
62,123
62,94
62,4
63,50
63,124
63,125
64,5
64,52
65,37
65,126
65,127
65,128
66,63
68,129
68,55
68,130
68,131
69,63
70,50
70,51
70,132
70,133
71,5
71,56
72,134
72,135
72,136
72,8
73,55
73,137
73,138
74,63
74,108
75,5
75,52
76,139
76,140
76,141
76,142
76,143
76,144
77,145
77,146
77,147
78,50
79,31
80,148
80,149
81,50
82,150
82,151
82,152
83,153
83,154
85,155
85,156
86,35
86,157
86,158
87,7
87,159
88,15
89,15
92,2
92,160
93,15
94,50
94,161
95,7
95,162
95,163
96,29
96,164
97,55
97,165
97,166
97,86
97,167
99,168
99,169
99,170
99,171
99,172
99,173
100,31
100,29
101,31
101,174
101,175
102,9
103,37
103,58
103,176
104,23
104,177
104,178
105,33
105,179
105,5
107,21
107,180
107,181
110,182
110,183
110,184
111,31
111,185
111,186
112,187
113,60
113,35
117,188
117,189
117,70
117,190
117,191
117,192
117,193
118,2
118,127
119,194
119,195
121,196
121,170
121,197
122,15
123,198
125,50
126,50
126,5
126,199
126,200
126,201
132,15
132,202
132,203
135,7
140,36
140,9
141,27
144,204
145,31
145,89
146,5
146,205
147,63
147,124
148,206
148,169
148,193
148,207
149,208
149,209
149,210
149,211
149,86
149,212
150,213
150,23
150,214
151,27
151,215
152,216
152,41
152,217
153,5
153,218
153,94
153,219
154,220
154,221
154,222
155,31
155,29
156,50
156,223
157,224
157,225
157,94
157,226
157,227
158,23
158,33
158,228
159,23
159,229
160,15
160,122
161,35
161,89
162,230
163,31
163,133
164,2
164,231
164,232
165,7
165,36
166,233
166,234
166,235
166,236
168,31
168,237
169,55
169,5
169,11
169,238
169,57
170,27
170,239
171,240
171,241
172,2
172,111
173,35
173,36
174,2
175,50
175,242
175,243
175,244
176,245
176,246
177,27
177,247
178,196
178,248
178,249
178,250
178,251
178,252
178,253
179,9
180,23
180,254
180,255
180,256
181,7
181,257
181,258
183,259
183,260
183,261
184,262
185,31
186,7
186,263
187,264
188,265
188,132
188,266
188,267
189,155
189,156
189,210
190,208
190,242
190,210
190,268
190,269
190,270
190,271
191,35
191,36
193,27
193,38
193,39
194,50
195,5
195,272
195,273
196,37
198,7
198,23
198,274
199,275
199,276
199,277
201,195
201,97
202,278
202,279
202,207
203,23
203,33
204,5
204,280
204,11
204,281
204,282
205,35
206,50
206,283
207,7
207,284
208,23
208,285
208,286
208,287
209,51
209,288
209,195
209,97
210,27
211,15
211,289
212,7
213,55
213,290
213,291
214,292
214,293
214,193
214,294
214,295
214,296
215,31
215,29
215,297
215,298
216,299
217,300
218,55
218,11
218,238
218,54
218,301
219,23
219,302
220,303
222,107
222,304
222,305
222,306
223,50
223,256
224,63
224,307
224,108
224,308
225,5
225,309
227,15
228,195
228,97
229,206
229,55
229,208
229,310
229,130
229,311
229,312
230,31
230,29
231,63
231,127
232,313
232,268
232,314
233,50
233,315
233,316
234,195
235,9
236,7
236,94
236,95
236,317
237,31
237,29
238,7
239,21
239,318
239,319
240,2
241,37
242,320
242,321
242,322
243,323
243,324
246,206
246,325
247,326
247,50
247,327
247,328
248,60
248,35
249,31
249,329
249,182
250,21
250,60
251,23
251,330
252,15
